Levy,Manufacturer,Model,Prod. year,Category,Leather interior,Fuel type,Engine volume,Mileage,Cylinders,Gear box type,Drive wheels,Doors,Wheel,Color,Airbags,Turbo,Car_Age
1024.0,VOLKSWAGEN,Jetta,2010,Sedan,1,Petrol,,110000,4,Tiptronic,Front,2026-05-04 00:00:00,Left wheel,Silver,6,,10
0.0001,HONDA,FIT,2007,Hatchback,0,Petrol,,87000,4,Automatic,Front,2026-05-04 00:00:00,Right-hand drive,Black,5,,13
891.0,HYUNDAI,Elantra,2016,Sedan,0,Petrol,,92000,4,Tiptronic,Front,2026-05-04 00:00:00,Left wheel,Black,8,,4
831.0,TOYOTA,Aqua,2018,Hatchback,1,Petrol,,5000,4,Automatic,Front,2026-05-04 00:00:00,Left wheel,Green,4,,2
831.0,KIA,Optima,2011,Sedan,0,Hybrid,,163065,4,Tiptronic,Front,2026-05-04 00:00:00,Left wheel,Silver,12,,9
0.0001,TOYOTA,Prius,2008,Hatchback,0,Petrol,,291200,4,Automatic,Front,2026-05-04 00:00:00,Left wheel,White,8,,12
1172.0,MERCEDES-BENZ,E 350,2011,Sedan,1,Diesel,,119379,6,Automatic,4x4,2026-05-04 00:00:00,Left wheel,Silver,12,,9
609.0,TOYOTA,Camry,2018,Sedan,1,Hybrid,,35058,4,Automatic,Front,2026-05-04 00:00:00,Left wheel,White,12,,2
761.0,TOYOTA,Prius,2010,Hatchback,1,Hybrid,,98768,4,Automatic,Front,2026-05-04 00:00:00,Left wheel,White,12,,10
760.0,CHEVROLET,Cruze,2010,Sedan,1,Petrol,,40772,4,Automatic,Front,2026-05-04 00:00:00,Left wheel,Black,4,,10
843.0,TOYOTA,Prius,2008,Hatchback,1,Hybrid,,288000,4,Automatic,Front,2026-05-04 00:00:00,Left wheel,Grey,4,,12
781.0,TOYOTA,Camry,2012,Sedan,1,Hybrid,,119765,4,Automatic,Front,2026-05-04 00:00:00,Left wheel,Red,12,,8
781.0,TOYOTA,Camry,2012,Sedan,1,Hybrid,,90000,4,Tiptronic,Front,2026-05-04 00:00:00,Left wheel,Black,8,,8
770.0,HYUNDAI,Tucson,2016,Jeep,1,Diesel,,62232,4,Automatic,Front,2026-05-04 00:00:00,Left wheel,Black,4,,4
0.0001,TOYOTA,Prius,2008,Sedan,0,Hybrid,,244800,4,Automatic,Front,2026-05-04 00:00:00,Left wheel,Green,6,,12
640.0,HYUNDAI,Sonata,2013,Sedan,1,Petrol,,126655,4,Automatic,Front,2026-05-04 00:00:00,Left wheel,Grey,4,,7
271.0,HONDA,FIT,2014,Universal,1,Hybrid,,121000,4,Automatic,Front,2026-05-04 00:00:00,Left wheel,Black,4,,6
