Price,Levy,Manufacturer,Model,Prod. year,Category,Leather interior,Fuel type,Engine volume,Mileage,Cylinders,Gear box type,Drive wheels,Doors,Wheel,Color,Airbags,Turbo,Car_Age
13328,1399.0,LEXUS,RX 450,2010,Jeep,1,Hybrid,,186005,6,Automatic,4x4,2026-05-04 00:00:00,Left wheel,Silver,12,,10
8467,0.0001,HONDA,FIT,2006,Hatchback,0,Petrol,,200000,4,Variator,Front,2026-05-04 00:00:00,Right-hand drive,Black,2,,14
11726,446.0,HONDA,FIT,2014,Hatchback,1,Petrol,,91901,4,Automatic,Front,2026-05-04 00:00:00,Left wheel,Silver,4,,6
39493,891.0,HYUNDAI,Santa FE,2016,Jeep,1,Diesel,,160931,4,Automatic,Front,2026-05-04 00:00:00,Left wheel,White,4,,4
1803,761.0,TOYOTA,Prius,2010,Hatchback,1,Hybrid,,258909,4,Automatic,Front,2026-05-04 00:00:00,Left wheel,White,12,,10
1098,394.0,TOYOTA,Camry,2014,Sedan,1,Hybrid,,398069,4,Automatic,Front,2026-05-04 00:00:00,Left wheel,Black,12,,6
8781,0.0001,FORD,Transit,1999,Microbus,0,CNG,,0,8,Manual,Rear,2026-03-02 00:00:00,Left wheel,Blue,0,,21
59464,891.0,HYUNDAI,Santa FE,2016,Jeep,1,Diesel,,76000,4,Automatic,Front,2026-05-04 00:00:00,Left wheel,White,4,,4
7683,810.0,HYUNDAI,Elantra,2016,Sedan,1,Petrol,,121840,4,Automatic,Front,2026-05-04 00:00:00,Left wheel,Blue,12,,4
28382,810.0,HYUNDAI,Elantra,2016,Sedan,1,Petrol,,54317,4,Automatic,Front,2026-05-04 00:00:00,Left wheel,White,4,,4
18826,531.0,HYUNDAI,Elantra,2012,Sedan,1,Petrol,,112645,4,Automatic,Front,2026-05-04 00:00:00,Left wheel,Silver,4,,8
20698,586.0,TOYOTA,Prius,2012,Sedan,1,Plug-in Hybrid,,187000,4,Automatic,Front,2026-05-04 00:00:00,Left wheel,White,12,,8
17562,1249.0,TOYOTA,Camry,2017,Sedan,1,Petrol,,39709,4,Automatic,Front,2026-05-04 00:00:00,Left wheel,Black,12,,3
7840,0.0001,FORD,Transit,2001,Microbus,0,Diesel,2.0,230000,4,Manual,Front,2026-03-02 00:00:00,Left wheel,White,0,1.0,19
30,0.0001,TOYOTA,Prius,2008,Sedan,0,Hybrid,,169000,4,Automatic,Front,2026-05-04 00:00:00,Left wheel,White,8,,12
14454,583.0,HYUNDAI,Elantra,2011,Sedan,1,Petrol,,158787,4,Automatic,Front,2026-05-04 00:00:00,Left wheel,Silver,4,,9
12074,1537.0,TOYOTA,Highlander,2009,Jeep,1,Hybrid,,420550,6,Automatic,4x4,2026-05-04 00:00:00,Left wheel,Blue,12,,11
6899,0.0001,BMW,X5,2000,Jeep,1,CNG,,200000,8,Automatic,4x4,2026-05-04 00:00:00,Left wheel,Silver,6,,20
23235,707.0,HYUNDAI,Santa FE,2011,Jeep,1,Diesel,,162000,4,Automatic,Front,2026-05-04 00:00:00,Left wheel,Grey,4,,9
7527,1486.0,HONDA,FIT,2010,Hatchback,0,Hybrid,,158000,4,Automatic,Front,2026-05-04 00:00:00,Right-hand drive,Black,4,,10
19121,531.0,HYUNDAI,Elantra,2012,Sedan,1,Petrol,,103490,4,Automatic,Front,2026-05-04 00:00:00,Left wheel,Silver,4,,8
24462,751.0,TOYOTA,Camry,2013,Sedan,1,Petrol,,203200,4,Automatic,Front,2026-05-04 00:00:00,Left wheel,Blue,4,,7
45734,1091.0,HYUNDAI,H1,2016,Universal,1,Diesel,,61057,4,Automatic,Front,2026-05-04 00:00:00,Left wheel,Black,4,,4
20165,650.0,VOLKSWAGEN,Jetta,2016,Sedan,1,Petrol,1.4,11200,4,Tiptronic,Front,2026-05-04 00:00:00,Left wheel,Black,8,1.0,4
21326,382.0,HYUNDAI,Sonata,2014,Sedan,1,Hybrid,,141000,4,Tiptronic,Front,2026-05-04 00:00:00,Left wheel,White,12,,6
55390,1017.0,HYUNDAI,Santa FE,2017,Jeep,1,Diesel,,100734,4,Automatic,Front,2026-05-04 00:00:00,Left wheel,Black,4,,3
12544,0.0001,TOYOTA,Aqua,2012,Hatchback,0,Hybrid,,141500,4,Automatic,Front,2026-05-04 00:00:00,Right-hand drive,Black,8,,8
34889,891.0,HONDA,Civic,2016,Sedan,1,Petrol,,87768,4,Automatic,Front,2026-05-04 00:00:00,Left wheel,Blue,4,,4
16935,530.0,FORD,Fusion,2013,Sedan,0,Petrol,1.6,83000,4,Tiptronic,Front,2026-05-04 00:00:00,Left wheel,Silver,8,1.0,7
20526,640.0,HYUNDAI,Tucson,2013,Jeep,1,Diesel,,200279,4,Automatic,Front,2026-05-04 00:00:00,Left wheel,Grey,4,,7
9722,765.0,HYUNDAI,Sonata,2015,Sedan,1,LPG,,719847,4,Automatic,Front,2026-05-04 00:00:00,Left wheel,Orange,4,,5
34657,777.0,HYUNDAI,H1,2014,Minivan,1,Diesel,,154672,4,Automatic,Front,2026-05-04 00:00:00,Left wheel,Silver,4,,6
36564,1091.0,HYUNDAI,H1,2016,Minivan,1,Diesel,,110969,4,Automatic,Front,2026-05-04 00:00:00,Left wheel,Black,4,,4
30063,934.0,HYUNDAI,H1,2015,Universal,1,Diesel,,148105,4,Automatic,Front,2026-05-04 00:00:00,Left wheel,Silver,4,,5
43952,1249.0,HYUNDAI,H1,2017,Universal,1,Diesel,,111643,4,Automatic,Front,2026-05-04 00:00:00,Left wheel,Grey,4,,3
53154,891.0,HYUNDAI,Santa FE,2016,Jeep,1,Diesel,,84506,4,Automatic,Front,2026-05-04 00:00:00,Left wheel,Silver,4,,4
